,Item Number,Weight,Season,Sourced From,Made In,Lifestage,Breed Size,Food Form,Special Diet,name,Ingredients,Reccomendation Rate,Rating,Review Count,Shop Conscious,Packaging Type,Food Texture,Dimensions,Test Type,Administration Form,Product Form,Drug Type,Dog Breed,Grooming Feature,Health Condition,NASC Certified,Age Requirement,Restricted Availability,Toy Feature,Toy Flavor,Material,Farm Animal Type
92466,92466,4 pounds,N/A,N/A,N/A,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,"Sensitive Digestion, With Grain",Hill's Science Diet Adult Sensitive Stomach & Skin Chicken Recipe Dry Dog Food,"Chicken, Chicken Meal, Yellow Peas, Cracked Pearled Barley, Brown Rice, Brewers Rice, Whole Grain Sorghum, Egg Product, Chicken Fat, Soybean Oil, Dried Beet Pulp, Chicken Liver Flavor, Lactic Acid, Flaxseed, Pork Liver Flavor, Potassium Chloride, IodizedSalt, vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Niacin Supplement, Thiamine Mononitrate, Vitamin A Supplement, Calcium Pantothenate, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Folic Acid, Vitamin D3 Supplement), Choline Chloride, Taurine, Mixed Tocopherols for freshness, minerals (Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite), Natural Flavors, Beta-Carotene.",90.0,4.4,1578.0,,,,,,,,,,,,,,,,,,
67506,67506,6 pounds,N/A,Various,United States,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,"High-Protein, High Fiber, With Grain",Purina Pro Plan Adult Shredded Blend Beef & Rice Formula Dry Dog Food,"Beef, Rice, Whole Grain Wheat, Corn Gluten Meal, Poultry By-product Meal (Source Of Glucosamine), Soybean Meal, Whole Grain Corn, Beef Fat Preserved With Mixed-tocopherols, Dried Egg Product, Dried Beet Pulp, Fish Meal (Source Of Glucosamine), Natural Flavor, Glycerin, Calcium Carbonate, Wheat Bran, Mono And Dicalcium Phosphate, Soybean Oil, Salt, Potassium Chloride, Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Vitamin B-12 Supplement, Riboflavin Supplement (Vitamin B-2), Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Biotin (Vitamin B-7)], Minerals [Zinc Proteinate, Manganese Proteinate, Ferrous Sulfate, Copper Proteinate, Calcium Iodate, Sodium Selenite], Choline Chloride, L-ascorbyl-2-polyphosphate (Vitamin C), Dried Bacillus Coagulans Fermentation Product, Garlic Oil. P446919.",91.0,4.4,861.0,,,,,,,,,,,,,,,,,,
756430,756430,,N/A,Various,United States,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,With Grain,"Pedigree Complete Nutrition Roasted Chicken, Rice & Vegetable Flavor Dog Kibble Adult Dry Dog Food","Ground Whole Grain Corn, Meat And Bone Meal, Corn Gluten Meal, Animal Fat (Source Of Omega 6 Fatty Acids (Preserved With BHA & Citric Acid]), Soybean Meal, Natural Flavor, Chicken By-Product Meal, Dried Plain Beet Pulp, Salt, Potassium Chloride, Brewers Rice, Ground Whole Grain Wheat, Choline Chloride, Calcium Carbonate, Dried Peas, Dl-Methionine, Zinc Sulfate, Vitamin E Supplement, Monocalcium Phosphate, L-Tryptophan, Yellow 5, Yellow 6, Dried Carrots, Blue 2, Niacin [Vitamin B3], Red 40, D-Calcium Pantothenate [Source Of Vitamin B5], Copper Sulfate, Sodium Selenite, Potassium Iodide, Vitamin A Supplement, Riboflavin Supplement [Vitamin B2], Vitamin B12 Supplement, Thiamine Mononitrate [Vitamin B1], Vitamin D3 Supplement, Pyridoxine Hydrochloride [Vitamin B6], Folic Acid.",89.0,4.3,856.0,,,,,,,,,,,,,,,,,,
51597,51597,6 pounds,N/A,Various,United States,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,With Grain,"Rachael Ray Nutrish Real Beef, Pea, & Brown Rice Recipe Dry Dog Food","Beef, Beef Meal, Soybean Meal, Whole Corn, Grain Sorghum, Dried Peas, Chicken Fat (preserved With Mixed Tocopherols), Corn Protein Concentrate, Brown Rice, Pea Starch, Dried Plain Beet Pulp, Natural Flavor, Salt, Carrots, Malted Barley Flour, Calcium Carbonate, Taurine, Zinc Sulfate, Choline Chloride, Vitamin E Supplement, Ascorbic Acid (source Of Vitamin C), Ferrous Sulfate, Niacin, Copper Sulfate, Vitamin A Supplement, Citric Acid (preservative), Sodium Selenite, Annatto Extract (color), Thiamine Mononitrate, D-calcium Pantothenate, Manganese Sulfate, Riboflavin Supplement, Pyridoxine Hydrochloride, Rosemary Extract, Vitamin B12 Supplement, Calcium Iodate, Folic Acid, Biotin, Vitamin D3 Supplement",88.0,4.4,1224.0,,,,,,,,,,,,,,,,,,
49775,49775,40 pounds,N/A,Various,United States,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,"No Corn No Wheat No Soy, With Grain",Diamond Naturals Lamb Meal & Rice Formula Adult Dry Dog Food,"Lamb Meal, Ground White Rice, Cracked Pearled Barley, Grain Sorghum, Egg Product, Dried Yeast, Rice Bran, Chicken Fat (Preserved With Mixed Tocopherols), Oatmeal, Dried Beet Pulp, Natural Flavor, Flaxseed, Potassium Chloride, Salt, Dl-Methionine, Choline Chloride, Taurine, Dried Chicory Root, Kale, Chia Seed, Pumpkin, Blueberries, Oranges, Quinoa, Dried Kelp, Coconut, Spinach, Carrots, Papaya, Yucca Schidigera Extract, L-Carnitine, Dried Lactobacillus Plantarum Fermentation Product, Dried Bacillus Subtilis Fermentation Product, Dried Lactobacillus Acidophilus Fermentation Product, Dried Enterococcus Faecium Fermentation Product, Dried Bifidobacterium Animalis Fermentation Product, Vitamin E Supplement, Beta Carotene, Iron Proteinate, Zinc Proteinate, Copper Proteinate, Ferrous Sulfate, Zinc Sulfate, Manganese Sulfate, Copper Sulfate, Potassium Iodide, Thiamine Mononitrate, Manganese Proteinate, Ascorbic Acid, Vitamin A Supplement, Biotin, Niacin, Calcium Pantothenate, Sodium Selenite, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Riboflavin, Vitamin D3 Supplement, Folic Acid. Contains A Source Of Live (Viable), Naturally Occurring Microorganisms. The Facility In Which This Food Is Made Also Makes Food That May Contain Other Ingredients.",86.0,4.2,874.0,,,,,,,,,,,,,,,,,,
100130,100130,3.5 pounds,N/A,Various,United States,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,With Grain,Purina Beneful Originals with Farm-Raised Beef withReal Meat Dog Food,"Beef, Whole Grain Corn, Barley, Rice, Whole Grain Wheat, Soybean Meal, Corn Gluten Meal, Chicken By-Product Meal , Beef Fat Preserved With Mixed-Tocopherols, Oat Meal, Egg And Chicken Flavor, Calcium Carbonate, Mono And Dicalcium Phosphate, Salt, Natural Flavor, Potassium Chloride, Dried Spinach, Dried Peas, Dried Carrots, Iron Oxide Color, MINERALS [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], VITAMINS [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Pyridoxine Hydrochloride (Vitamin B-6), Vitamin B-12 Supplement, Thiamine Mononitrate (Vitamin B-1), Vitamin D-3 Supplement, Riboflavin Supplement (Vitamin B-2), Menadione Sodium Bisulfite Complex (Vitamin K), Folic Acid (Vitamin B-9), Biotin (Vitamin B-7)], Choline Chloride, L-Lysine Monohydrochloride. R409020",92.0,4.4,506.0,,,,,,,,,,,,,,,,,,
91981,91981,16.5 pounds,N/A,Various,United States,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,"High-Protein, Natural, With Grain",Purina ONE Natural SmartBlend Lamb & Rice Formula Dry Dog Food,"Lamb (Source of Glucosamine), Rice Flour, Whole Grain Corn, Whole Grain Wheat, Chicken By-Product Meal (Source of Glucosamine), Corn Gluten Meal, Soybean Meal, Beef Fat Naturally Preserved with Mixed-Tocopherols, Mono and Dicalcium Phosphate, Glycerin, Calcium Carbonate, Liver Flavor, Salt, Caramel Color, Soybean Oil, Potassium Chloride, Dried Carrots, Dried Peas, Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Vitamin B-12 Supplement, Riboflavin Supplement (Vitamin B-2), Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Menadione Sodium Bisulfite Complex (Vitamin K), Vitamin D-3 Supplement, Biotin (Vitamin B-7)], Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Choline Chloride, L-Lysine Monohydrochloride, Sulfur. V-4162.",94.0,4.6,1415.0,Natural,,,,,,,,,,,,,,,,,
110523,110523,5 pounds,N/A,Various,N/A,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds, Extra Small Breeds",Dry Food,,Cesar Filet Mignon Flavor & Spring Vegetables Garnish Small Breed Dry Dog Food,"Beef, Ground Wheat, Meat and Bone Meal, Whole Grain Corn, Brewers Rice, Chicken By-Product Meal,  Soybean Meal, Animal Fat (preserved with BHA & Citric Acid), Corn Gluten Meal, Natural Flavor, Dried Plain Beet Pulp, Water, Chicken Meal, Glycerin, Salt, Sugar, Potassium Sorbate (preservative), Phosphoric Acid, Potassium Chloride, Natural Filet Mignon Flavor, Choline Chloride, Dried Peas, Calcium Carbonate, DL-Methionine, Vitamin E Supplement, Zinc Sulfate, Dried Carrots, Yellow 6, L-Tryptophan, Red 40, Yellow 5, Blue 2, Niacin Supplement, D-Calcium Pantothenate, Copper Sulfate, Sodium Selenite, Potassium Iodide, Vitamin A Supplement, Blue 2, Riboflavin Supplement (Vitamin B2), Vitamin B12 Supplement, Thiamine Mononitrate (Vitamin B1), Vitamin D3 Supplement, Pyridoxine Hydrochloride (Vitamin B6), Folic Acid.",95.0,4.6,467.0,,,,,,,,,,,,,,,,,,
767782,767782,40 pounds,N/A,Various,United States,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,With Grain,Dog Chow Complete Adult with Real Beef Dry Dog Food,"Whole Grain Corn, Poultry By-Product Meal, Corn Gluten Meal, Beef Fat Preserved With Mixed-Tocopherols, Soybean Meal, Meat And Bone Meal, Ground Rice, Beef, Egg And Chicken Flavor, Natural Flavor, Calcium Carbonate, Mono And Dicalcium Phosphate, Salt, Potassium Chloride, Choline Chloride, L-Lysine Monohydrochloride, Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3),  Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Pyridoxine Hydrochloride (Vitamin B-6), Vitamin B-12 Supplement, Thiamine Mononitrate (Vitamin B-1), Vitamin D-3 Supplement, Riboflavin Supplement (Vitamin B-2), Menadione Sodium Bisulfite Complex (Vitamin K), Folic Acid (Vitamin B-9), Biotin (Vitamin B-7)], Yellow 6, Yellow 5, L-Tryptophan, Red 40, Blue 2. D412420.",89.0,4.4,463.0,,,,,,,,,,,,,,,,,,
46879,46879,15 pounds,N/A,Various,"N/A, United States",Senior,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,"No Corn No Wheat No Soy, With Grain, Natural",Blue Buffalo Life Protection Formula Senior Chicken & Brown Rice Recipe Dry Dog Food,"Deboned Chicken, Brown Rice, Barley, Oatmeal, Chicken Meal, Peas, Pea Starch, Pea Fiber, Potato Starch, Natural Flavor, Flaxseed (source of Omega 3 & 6 Fatty Acids), Chicken Fat (preserved with Mixed Tocopherols), Pea Protein, Fish Oil (source of DHA-Docosahexaenoic Acid), Dicalcium Phosphate, Potassium Citrate, Direct Dehydrated Alfalfa Pellets, Potassium Chloride, DL-Methionine, Dried Chicory Root, Calcium Carbonate, Potatoes, Choline Chloride, Alfalfa Nutrient Concentrate, Salt, Taurine, Dried Tomato Pomace, Vitamin E Supplement, preserved with Mixed Tocopherols, Sweet Potatoes, Carrots, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Garlic, L-Carnitine, Glucosamine Hydrochloride, Zinc Amino Acid Chelate, Zinc Sulfate, Vegetable Juice for color, Ferrous Sulfate, Iron Amino Acid Chelate, Blueberries, Cranberries, Barley Grass, Parsley, Turmeric, Dried Kelp, Yucca Schidigera Extract, Niacin (Vitamin B3), Calcium Pantothenate (Vitamin B5), Copper Sulfate, L-Lysine, Biotin (Vitamin B7), Vitamin A Supplement, Copper Amino Acid Chelate, Manganese Sulfate, Chondroitin Sulfate, Manganese Amino Acid Chelate, Thiamine Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Vitamin D3 Supplement, Vitamin B12 Supplement, Pyridoxine Hydrochloride (Vitamin B6), Calcium Iodate, Dried Yeast, Dried Enterococcus faecium fermentation product, Dried Lactobacillus acidophilus fermentation product, Dried Aspergillus niger fermentation extract, Dried Trichoderma longibrachiatum fermentation extract, Dried Bacillus subtilis fermentation extract, Folic Acid (Vitamin B9), Sodium Selenite, Oil of Rosemary.",90.0,4.5,1060.0,,,,,,,,,,,,,,,,,,
